Steering Throttle
-0.0537753 2.99893
-0.0569263 2.92169
-0.0599973 2.84213
-0.0582098 2.77561
-0.0547875 2.73006
-0.0532676 2.67667
-0.0502365 2.63413
-0.0459273 2.60137
-0.0417939 2.56493
-0.0376977 2.53094
-0.0326956 2.48768
-0.0278766 2.44962
-0.0245159 2.41544
-0.0209966 2.37375
-0.017686 2.33761
-0.0156881 2.30534
-0.0143167 2.26442
-0.0135342 2.21888
-0.0142173 2.17633
-0.0139144 2.14421
-0.0141928 2.11522
-0.015054 2.08057
-0.0157933 2.0501
-0.01668 2.00164
-0.0170825 1.9713
-0.0172297 1.93452
-0.0167374 1.91605
-0.0167686 1.88186
-0.0169058 1.84495
-0.0164308 1.81229
-0.0157566 1.78233
-0.0150952 1.75614
-0.014654 1.73098
-0.0146079 1.68187
-0.0148899 1.65115
-0.0154143 1.61869
-0.0161515 1.59733
-0.0169476 1.57164
-0.0177593 1.54516
-0.018988 1.52269
-0.021166 1.49238
-0.0230227 1.46946
-0.0248001 1.44482
-0.0271157 1.42092
-0.0296926 1.40285
-0.0323045 1.38283
-0.0353954 1.3591
-0.0384768 1.33828
-0.0405832 1.32166
-0.0453599 1.29103
-0.049819 1.27111
-0.057521 1.23984
-0.0664388 1.21192
-0.070073 1.20529
-0.0738161 1.19388
-0.0885247 1.17178
-0.094632 1.16911
-0.100071 1.15743
-0.108257 1.15077
-0.110645 1.1481
-0.111053 1.14437
-0.108256 1.1426
-0.102014 1.14205
-0.0918585 1.14353
-0.0807245 1.14114
-0.0678774 1.14131
-0.0498132 1.13763
-0.0288312 1.13412
-0.014399 1.1274
-0.00457392 1.11411
-0.000213491 1.10422
0.001487 1.09407
0.00246565 1.07918
0.000535052 1.06704
-0.0032929 1.05366
-0.00658884 1.03974
-0.00989629 1.02857
-0.0142192 1.01408
-0.0179294 1.00039
-0.020282 0.986158
-0.0195667 0.965953
-0.0181411 0.974878
-0.0166195 0.964693
-0.0133648 0.954001
-0.00871629 0.947484
-0.00469274 0.941851
-0.00215377 0.937173
-0.000938439 0.9334
-0.00184123 0.928057
-0.00374512 0.92238
-0.00785367 0.918758
-0.0204204 0.893444
-0.0351453 0.887308
-0.050767 0.921859
-0.0665694 0.870482
-0.0986759 0.91338
-0.125147 0.929267
-0.182202 -1
-0.25309 -1
-0.290375 -1
-0.273239 -0.491772
-0.178592 2.8696
-0.0892985 3
-0.0463011 3
-0.031975 3
-0.0163286 3
0.000508732 2.98729
0.0144102 2.91897
0.0234937 2.85506
0.0306036 2.79723
0.0415202 2.72807
0.0569508 2.65695
0.0693257 2.60423
0.103279 2.48429
0.122594 -0.408059
0.13609 -0.414612
0.140958 0.153829
0.210772 0.579933
0.263523 0.944717
0.256949 0.752939
0.221601 3
0.167811 3
0.111235 3
0.0758787 3
0.049626 3
0.0281269 3
0.00273333 3
-0.0201336 3
-0.0329646 3
-0.0433475 3
-0.0633871 2.93778
-0.0763516 2.87325
-0.0974264 2.74128
-0.103515 2.70088
-0.104288 2.6614
-0.107935 2.62858
-0.153536 -0.305156
-0.17021 -0.302446
-0.165174 0.318552
-0.159718 0.58795
-0.154317 0.763949
-0.175775 0.584428
-0.166783 0.565013
-0.151926 3
-0.131589 3
-0.122665 3
-0.112184 3
-0.0987434 3
-0.0789755 3
-0.066092 3
-0.0636586 3
-0.0593803 3
-0.0560683 3
-0.0537349 3
-0.0550693 2.97745
-0.0573508 2.91887
-0.0589218 2.87393
-0.0596812 2.82368
-0.0576734 2.7873
-0.0564003 2.75444
-0.0539039 2.70143
-0.0528605 2.66574
-0.0487199 2.60828
-0.0428603 2.57034
-0.0366166 2.51902
-0.0280767 2.45594
-0.0233272 2.41919
-0.0205845 2.37944
-0.0175208 2.33918
-0.0151422 2.30771
-0.0137691 2.27637
-0.0133031 2.23277
-0.0135995 2.2092
-0.0144701 2.17337
-0.0144305 2.14341
-0.015097 2.1091
-0.016417 2.07375
-0.0171833 2.04427
-0.017579 2.01385
-0.0178838 1.98384
-0.0180279 1.95754
-0.0177587 1.9087
-0.016869 1.87053
-0.0163515 1.83701
-0.0159264 1.81232
-0.0154125 1.79171
-0.0144962 1.75877
-0.0137082 1.7301
-0.0135436 1.69799
-0.0140123 1.68388
-0.0144028 1.6483
-0.0148912 1.62473
-0.0155986 1.60128
-0.0167129 1.57391
-0.0179705 1.54678
-0.0198985 1.51372
-0.0221724 1.4837
-0.0260801 1.44259
-0.0301793 1.40758
-0.0316864 1.39395
-0.0335021 1.3718
-0.036762 1.34879
-0.0397264 1.33018
-0.0441751 1.29517
-0.048083 1.27252
-0.0536962 1.2441
-0.0593281 1.22543
-0.066325 1.20393
-0.0736564 1.18978
-0.0793523 1.17857
-0.0931423 1.16314
-0.103501 1.15193
-0.104529 1.14963
-0.115026 1.1401
-0.117029 1.13767
-0.109003 1.13511
-0.0976776 1.13504
-0.0835982 1.13939
-0.0685656 1.13641
-0.0487124 1.13728
-0.0362812 1.13204
-0.0246341 1.12627
-0.0141636 1.11794
-0.00651328 1.10921
-0.00210527 1.09889
-0.000634096 1.08884
-0.000665652 1.07373
-0.00439982 1.05319
-0.00971047 1.0337
-0.0156591 1.01647
-0.0203253 0.996207
-0.0216133 0.983765
-0.0203094 0.962819
-0.0178953 0.96935
-0.0146927 0.956606
-0.00843912 0.947391
-0.00335185 0.941265
-0.000149489 0.936676
0.00164899 0.931998
0.00070051 0.926439
-0.00232227 0.920683
-0.00949436 0.915807
-0.0215355 0.891186
-0.0340806 0.886965
-0.0506084 0.921256
-0.0811121 0.850319
-0.108509 0.917387
-0.150937 -1
-0.184182 -1
-0.223221 -1
-0.258776 -0.766913
-0.256692 -0.341209
-0.229986 2.87852
-0.182274 3
-0.1414 3
-0.106397 2.99999
-0.0646298 2.96898
-0.019856 2.91749
0.0199214 2.84821
0.046244 2.77061
0.0642168 2.67861
0.0771001 2.59227
0.0841849 2.53989
0.0903609 2.48381
0.11482 2.39224
0.123452 -0.512156
0.127011 -0.521408
0.126345 0.0150853
0.182738 0.379689
0.203976 0.654899
0.233145 0.621338
0.214465 0.565128
0.161726 3
0.121251 3
0.0957397 3
0.0651738 3
0.0399832 3
0.0164893 3
0.000214287 3
-0.0167693 3
-0.0355754 3
-0.0502026 2.98508
-0.0600845 2.93419
-0.0731298 2.86225
